time,value
-0.00932688,1
-0.00932671,1
-0.00932654,1
-0.00932637,0
-0.0093262,0
-0.00932603,0
-0.00932586,0
-0.00932569,0
-0.00932552,1
-0.00932535,1
-0.00932518,0
-0.00932501,0
-0.00932484,0
-0.00932467,1
-0.0093245,1
-0.00932433,0
-0.00932416,0
-0.00932399,1
-0.00932382,1
-0.00932365,1
-0.00932348,0
-0.00932331,0
-0.00932314,0
-0.00932297,0
-0.0093228,1
-0.00932263,1
-0.00932246,1
-0.00932229,0
-0.00932212,0
-0.00932195,1
-0.00932178,1
-0.00932161,1
-0.00932144,1
-0.00932127,1
-0.0093211,0
-0.00932093,0
-0.00932076,0
-0.00932059,0
-0.00932042,0
-0.00932025,0
-0.00932008,0
-0.00931991,1
-0.00931974,1
-0.00931957,1
-0.0093194,1
-0.00931923,1
-0.00931906,0
-0.00931889,0
-0.00931872,1
-0.00931855,1
-0.00931838,0
-0.00931821,0
-0.00931804,0
-0.00931787,0
-0.0093177,0
-0.00931753,1
-0.00931736,1
-0.00931719,0
-0.00931702,0
-0.00931685,0
-0.00931668,1
-0.00931651,1
-0.00931634,0
-0.00931617,0
-0.009316,1
-0.00931583,1
-0.00931566,1
-0.00931549,0
-0.00931532,0
-0.00931515,1
-0.00931498,1
-0.00931481,1
-0.00931464,1
-0.00931447,1
-0.0093143,0
-0.00931413,0
-0.00931396,0
-0.00931379,0
-0.00931362,0
-0.00931345,1
-0.00931328,1
-0.00931311,0
-0.00931294,0
-0.00931277,1
-0.0093126,1
-0.00931243,1
-0.00931226,0
-0.00931209,0
-0.00931192,0
-0.00931175,0
-0.00931158,1
-0.00931141,1
-0.00931124,1
-0.00931107,0
-0.0093109,0
-0.00931073,1
-0.00931056,1
-0.00931039,0
-0.00931022,0
-0.00931005,0
-0.00930988,1
-0.00930971,1
-0.00930954,0
-0.00930937,0
-0.0093092,1
-0.00930903,1
-0.00930886,1
-0.00930869,0
-0.00930852,0
-0.00930835,1
-0.00930818,1
-0.00930801,1
-0.00930784,0
-0.00930767,0
-0.0093075,0
-0.00930733,0
-0.00930716,1
-0.00930699,1
-0.00930682,1
-0.00930665,1
-0.00930648,1
-0.00930631,0
-0.00930614,0
-0.00930597,0
-0.0093058,0
-0.00930563,0
-0.00930546,1
-0.00930529,1
-0.00930512,0
-0.00930495,0
-0.00930478,1
-0.00930461,1
-0.00930444,1
-0.00930427,0
-0.0093041,0
-0.00930393,1
-0.00930376,1
-0.00930359,0
-0.00930342,0
-0.00930325,0
-0.00930308,1
-0.00930291,1
-0.00930274,0
-0.00930257,0
-0.0093024,1
-0.00930223,1
-0.00930206,1
-0.00930189,0
-0.00930172,0
-0.00930155,1
-0.00930138,1
-0.00930121,0
-0.00930104,0
-0.00930087,0
-0.0093007,1
-0.00930053,1
-0.00930036,0
-0.00930019,0
-0.00930002,0
-0.00929985,0
-0.00929968,0
-0.00929951,1
-0.00929934,1
-0.00929917,0
-0.009299,0
-0.00929883,0
-0.00929866,0
-0.00929849,0
-0.00929832,1
-0.00929815,1
-0.00929798,1
-0.00929781,1
-0.00929764,1
-0.00929747,0
-0.0092973,0
-0.00929713,1
-0.00929696,1
-0.00929679,0
-0.00929662,0
-0.00929645,0
-0.00929628,0
-0.00929611,0
-0.00929594,1
-0.00929577,1
-0.0092956,1
-0.00929543,1
-0.00929526,1
-0.00929509,0
-0.00929492,0
-0.00929475,1
-0.00929458,1
-0.00929441,0
-0.00929424,0
-0.00929407,0
-0.0092939,0
-0.00929373,0
-0.00929356,1
-0.00929339,1
-0.00929322,1
-0.00929305,0
-0.00929288,0
-0.00929271,0
-0.00929254,0
-0.00929237,1
-0.0092922,1
-0.00929203,1
-0.00929186,1
-0.00929169,1
-0.00929152,0
-0.00929135,0
-0.00929118,1
-0.00929101,1
-0.00929084,1
-0.00929067,0
-0.0092905,0
-0.00929033,1
-0.00929016,1
-0.00928999,0
-0.00928982,0
-0.00928965,0
-0.00928948,0
-0.00928931,0
-0.00928914,1
-0.00928897,1
-0.0092888,1
-0.00928863,1
-0.00928846,1
-0.00928829,0
-0.00928812,0
-0.00928795,0
-0.00928778,0
-0.00928761,1
-0.00928744,1
-0.00928727,1
-0.0092871,0
-0.00928693,0
-0.00928676,0
-0.00928659,0
-0.00928642,0
-0.00928625,1
-0.00928608,1
-0.00928591,1
-0.00928574,1
-0.00928557,0
-0.0092854,0
-0.00928523,0
-0.00928506,0
-0.00928489,0
-0.00928472,1
-0.00928455,1
-0.00928438,1
-0.00928421,1
-0.00928404,1
-0.00928387,0
-0.0092837,0
-0.00928353,1
-0.00928336,1
-0.00928319,0
-0.00928302,0
-0.00928285,0
-0.00928268,0
-0.00928251,0
-0.00928234,0
-0.00928217,0
-0.009282,1
